"Note that this data is not a direct pull from FHA data sources, but has been altered to preserve patient confidentiality.",,,,,,,
,,,,,,,
FileYear,Hosp_Rollup,MCCDescription,LHAName_Coded,Count of CaseID,Sum of TotalDays,Sum of AcuteLOS,Sum of ALCLOSDays
2011,Abbotsford Regional Hospital & Cancer Centre,Burns,Abbotsford,7,16,16,0
2011,Abbotsford Regional Hospital & Cancer Centre,Burns,Agassiz-Harrison,7,7,7,0
2011,Abbotsford Regional Hospital & Cancer Centre,Burns,South Surrey/White Rock,7,14,14,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Abbotsford,147,394,394,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Agassiz-Harrison,7,20,20,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Chilliwack,10,145,106,39
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Coquitlam,7,21,21,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Hope,12,108,108,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Langley,11,34,34,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Maple Ridge,12,82,82,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Mission,31,255,255,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Outside FH,7,9,9,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of Ear, Nose, Mouth & Throat",Surrey,20,40,40,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Abbotsford,149,1466,1328,138
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Agassiz-Harrison,21,63,63,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Chilliwack,20,164,164,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Langley,17,111,111,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Maple Ridge,17,67,67,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Mission,28,230,151,79
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Outside FH,7,29,29,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,South Surrey/White Rock,5,41,41,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Blood & Lymphatic System,Surrey,12,100,100,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Abbotsford,1360,9586,8946,640
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Agassiz-Harrison,9,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Burnaby,24,449,443,6
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Chilliwack,158,1031,1031,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Coquitlam,12,35,35,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Delta,5,14,14,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Hope,34,247,247,0
